,1,2,3,4,5,6,7,8,9,10
20120323,-0.441200289,-0.02002133,0.037236331,0.07083117,0.060099934,0.048720346,0.00857794,0.134298723,0.041598247,0.059858928
20120326,-0.441989736,-0.021009522,0.033358121,0.070055902,0.060312883,0.050505552,0.009448886,0.135205483,0.043288027,0.060824404
20120327,-0.436934924,-0.01897733,0.03642089,0.070433993,0.057974757,0.04956253,0.008881574,0.132815165,0.040191365,0.05963198
20120328,-0.447194208,-0.018148477,0.036447794,0.071938944,0.059367746,0.046896142,0.01030404,0.134222345,0.042341984,0.063823688
20120329,-0.446670526,-0.017528805,0.037735963,0.071467559,0.060031088,0.04201847,0.012374272,0.135358817,0.041949419,0.063263744
20120330,-0.446805093,-0.019249176,0.037880959,0.072627334,0.060519644,0.042531738,0.009120937,0.1349305,0.042062821,0.066380336
20120405,-0.446392485,-0.019102485,0.034341553,0.072292905,0.060129907,0.045985186,0.008071796,0.136298373,0.039526155,0.068849094
20120406,-0.452268485,-0.017497691,0.032531104,0.072468355,0.06074614,0.046717619,0.008803538,0.13807358,0.038416914,0.072008926
20120409,-0.448456592,-0.015192888,0.031992153,0.070685337,0.060038263,0.045939694,0.006143846,0.135554342,0.04086749,0.072428354
20120410,-0.448206283,-0.016165734,0.03119298,0.072373698,0.058043884,0.047256507,0.009198995,0.134206561,0.039465707,0.072633684
20120411,-0.450979081,-0.011878153,0.03457887,0.073013466,0.057863849,0.047740294,0.008751082,0.131377108,0.037237338,0.072295227
20120412,-0.455335463,-0.009734599,0.037461203,0.070192546,0.057381759,0.047363169,0.007276899,0.132905922,0.037625349,0.074863216
20120413,-0.45888187,-0.00909382,0.04029045,0.068318103,0.056878975,0.048275482,0.009716368,0.134956961,0.035208297,0.074331053
20120416,-0.45926097,-0.008529928,0.040184963,0.067430948,0.058528529,0.04991342,0.007834573,0.135925243,0.034435378,0.073537844
20120417,-0.462414377,-0.005350418,0.042240914,0.068529632,0.059012142,0.052059936,0.006758632,0.137033259,0.03330985,0.06882043
20120418,-0.462090574,-0.006427854,0.041530863,0.071605822,0.057479351,0.052773104,0.006640402,0.137898971,0.03170529,0.068884625
20120419,-0.460285611,-0.005841469,0.039550441,0.0681331,0.060479116,0.05385731,0.005402711,0.132611632,0.034206108,0.071886662
20120420,-0.452939795,-0.006592953,0.041352634,0.067694718,0.060893593,0.049771091,0.00511534,0.131940016,0.035104369,0.067660986
20120423,-0.450876604,-0.00336696,0.044698561,0.065887715,0.062518686,0.049071729,0.001705068,0.130774945,0.027239179,0.07234768
20120424,-0.452482832,-0.001907475,0.043179719,0.063079436,0.064277262,0.051086277,0.001038559,0.13300489,0.028183271,0.070540892
20120425,-0.46092732,-0.005862995,0.042188086,0.065917472,0.068354594,0.054104876,0.003429438,0.134026187,0.029340755,0.069428907
20120426,-0.467935985,-0.01039323,0.040179953,0.067810436,0.069017591,0.057062466,0.007449073,0.138011607,0.028116076,0.070682013
20120427,-0.47375685,-0.011293375,0.037210752,0.067295527,0.07133235,0.058106414,0.007835445,0.138574554,0.029883041,0.074812143
20120502,-0.471206247,-0.007944802,0.036440722,0.066431192,0.068764796,0.058673734,0.008660811,0.133889304,0.03200064,0.07428985
20120503,-0.467300999,-0.008645031,0.038695937,0.065510322,0.065888185,0.053317534,0.012485737,0.134332247,0.029625045,0.076091024
20120504,-0.468298458,-0.00731694,0.039939563,0.064990486,0.066061418,0.047267349,0.012174029,0.134971668,0.029973594,0.080237289
20120507,-0.465666932,-0.004934126,0.039492837,0.063816587,0.06590361,0.049989019,0.011048055,0.133927606,0.027798399,0.078624945
20120508,-0.463748708,-0.002231031,0.042293988,0.064142973,0.06548923,0.047629202,0.00871332,0.130120552,0.029170122,0.078420353
20120509,-0.462544822,-0.003160254,0.043514154,0.06280011,0.064128442,0.051929571,0.007644538,0.132759596,0.026983396,0.075945268
20120510,-0.466013127,-0.000245643,0.044704115,0.06672911,0.064501355,0.048181423,0.009137574,0.132807526,0.024956176,0.075241491
20120511,-0.464638397,0.003051819,0.040850852,0.069778283,0.061580918,0.047029165,0.010087599,0.135465764,0.019047978,0.077746018
20120514,-0.464431594,0.002130055,0.039026086,0.073671561,0.06152363,0.048772432,0.008170921,0.1318801,0.017081972,0.082174837
20120515,-0.468231322,0.002720109,0.039574621,0.073847534,0.057274791,0.051345412,0.011621791,0.134557732,0.018310918,0.078978413
20120516,-0.470638007,0.001786082,0.038681995,0.073313126,0.058415507,0.051339372,0.007303324,0.137249083,0.019594465,0.082955052
20120517,-0.473277133,0.003413073,0.038945633,0.071689303,0.058154034,0.054351023,0.009753391,0.138213955,0.018944316,0.079812405
20120518,-0.474847943,0.007506349,0.040134027,0.072935906,0.05900418,0.052856271,0.009718829,0.140511902,0.013119116,0.079061363
20120521,-0.474028401,0.006664706,0.03971657,0.074416887,0.058104297,0.055580477,0.010788145,0.137296193,0.0125966,0.078864525
20120522,-0.469626526,0.007447327,0.039589633,0.071939175,0.055410362,0.055780821,0.008200258,0.133627892,0.016068713,0.081562346
20120523,-0.468434608,0.00860311,0.039046083,0.071027862,0.056118049,0.055829189,0.004799853,0.134103436,0.01374122,0.085165806
20120524,-0.467387815,0.009573339,0.033366595,0.071554097,0.059354673,0.05598555,0.005671494,0.129870764,0.013183286,0.088828018
20120525,-0.466885107,0.009132137,0.032776031,0.073990907,0.05799808,0.05692528,0.00703782,0.131713027,0.007637301,0.089674525
20120528,-0.464585106,0.010491412,0.034343828,0.075980088,0.055359079,0.054603064,0.006043205,0.13267346,0.006215488,0.088875483
20120529,-0.464925122,0.011221141,0.036342061,0.074478358,0.056810237,0.056186085,0.005283611,0.127142354,0.007402817,0.090058458
20120530,-0.470127339,0.01066886,0.037667433,0.071892578,0.05873656,0.058228543,0.007644262,0.129741989,0.007211187,0.088335927
20120531,-0.471915648,0.008552523,0.034835149,0.070896512,0.056035747,0.059442704,0.010284528,0.132118387,0.008920412,0.090829685
20120601,-0.469258395,0.008377,0.036412164,0.069042772,0.055009083,0.060174739,0.011928581,0.129851081,0.008329989,0.090132985
20120604,-0.471140315,0.010115165,0.032941136,0.070399609,0.0538307,0.060779003,0.012613159,0.130781148,0.011571503,0.088108892
20120605,-0.47014187,0.007119614,0.034577894,0.070319305,0.05303293,0.061668929,0.01562564,0.131360261,0.008547313,0.087889985
20120606,-0.469357031,0.006430135,0.034178399,0.069920743,0.053891553,0.060410189,0.013363398,0.132365289,0.011937662,0.086859663
20120607,-0.476075689,0.003867408,0.034416097,0.069518214,0.056105062,0.060843024,0.015426458,0.133885553,0.015874414,0.086139458
20120608,-0.480157357,0.003330969,0.03541184,0.068675736,0.05513927,0.061282125,0.013514348,0.133029656,0.014426977,0.095346436
20120611,-0.483933419,0.004353288,0.03909041,0.068471263,0.057045641,0.061224096,0.013997147,0.130211649,0.01586839,0.093671537
20120612,-0.485914911,0.004192115,0.037756434,0.067361316,0.058249658,0.061923047,0.013307778,0.131017403,0.01649114,0.095616021
20120613,-0.485647389,0.004666881,0.036050472,0.067248443,0.057054285,0.061431535,0.014947231,0.130763756,0.017547826,0.095936962
20120614,-0.485542719,0.006524627,0.038020279,0.066279072,0.057717688,0.061161221,0.013938987,0.128736901,0.01867529,0.094488656
20120615,-0.484053077,0.006930924,0.039993112,0.067617068,0.058483196,0.059381951,0.012499592,0.124615288,0.017871594,0.096660351
20120618,-0.485255328,0.006644427,0.041276954,0.067515572,0.058498836,0.055874378,0.014376793,0.126039797,0.016787439,0.098241132
20120619,-0.485225078,0.007314315,0.038788329,0.067094695,0.056318322,0.056085684,0.016222745,0.125678294,0.018100554,0.099622141
20120620,-0.481162068,0.010336935,0.038444502,0.066381617,0.056559456,0.057131893,0.015394598,0.123543155,0.016689728,0.096680184
20120621,-0.481554464,0.010140846,0.039799792,0.069596576,0.056982647,0.05918131,0.01640411,0.12521489,0.012223688,0.092010605
20120625,-0.479737746,0.013677909,0.04033464,0.069532563,0.057632475,0.059874599,0.016399463,0.120525175,0.011317257,0.090443665
20120626,-0.480036019,0.011186389,0.040688853,0.070729314,0.058596082,0.058395452,0.016940965,0.119889861,0.009487718,0.094121384
20120627,-0.48347677,0.010639604,0.041997854,0.069154545,0.060193627,0.060121041,0.018077543,0.116950754,0.010276609,0.096065193
20120628,-0.481967055,0.010364183,0.042110798,0.067245492,0.060563901,0.060355459,0.01673781,0.11599005,0.009809497,0.098789864
20120629,-0.480156335,0.012548063,0.043211634,0.065919534,0.059117337,0.059467169,0.015980599,0.115273144,0.008511227,0.100127628
20120702,-0.480328078,0.009132234,0.043183717,0.067104034,0.059788448,0.057712887,0.012339622,0.117044437,0.010048168,0.103974532
20120703,-0.481012163,0.010356848,0.042548892,0.067783977,0.058990948,0.057110368,0.011436299,0.118956053,0.013188033,0.100640745
20120704,-0.481336565,0.009507197,0.043454921,0.071246044,0.059154774,0.056718131,0.012156667,0.11388912,0.012334957,0.102874754
20120705,-0.482132796,0.008396309,0.04271803,0.071980435,0.057245624,0.05678752,0.012205699,0.114331716,0.013634414,0.104833049
20120706,-0.48515634,0.006296623,0.044021968,0.071518193,0.059269146,0.057985528,0.014932691,0.113876881,0.013852884,0.103402425
20120709,-0.490155564,0.006197744,0.045111739,0.071962926,0.060309595,0.057717006,0.014676952,0.115705402,0.014685383,0.103788817
